ID length diameter U Th He Ft raw_age age age_u
02TEIC01-001 464 127 10.4 34.5 2.9 0.79 28.5 35.8 3.9
02TEIC01-002 420 136 14.1 45.3 4.6 0.81 34.3 42.5 4.6
02TEIC01-003 233 118 14.8 43.2 3.2 0.77 23.8 30.9 3.3
02TEIC01-004 276 137 17.9 52.2 5.7 0.80 34.7 43.4 4.7
02TEIC01-007 310 137 13.9 45.6 4.9 0.80 36.4 45.3 4.9
02TEIC01-008 195 126 16.0 40.5 3.3 0.77 24.0 31.4 3.3
02TEIC01-010 381 146 16.1 41.2 4.6 0.82 32.6 39.9 4.3
02TEIC01-011 273 131 17.3 55.3 4.1 0.79 24.9 31.4 3.4
02TEIC01-014 209 152 14.4 35.6 3.2 0.81 25.9 33.2 3.4
02TEIC01-015 297 120 27.6 78.8 6.5 0.78 25.9 33.3 3.6
02TEIC01-016 296 217 11.7 29.1 3.6 0.86 35.8 41.3 4.5
02TEIC01-017 232 132 25.4 47.4 6.2 0.79 31.3 39.5 4.3
02TEIC01-018 269 160 13.8 43.1 5.0 0.82 38.5 46.7 5.0
02TEIC01-019 228 112 19.9 54.4 3.9 0.76 21.8 28.6 3.1
02TEIC01-020 339 107 20.6 61.6 6.4 0.76 33.7 44.4 4.8
02TEIC01-022 232 161 21.9 24.6 4.0 0.83 26.6 32.2 3.5
02TEIC01-023 250 134 16.0 47.3 4.3 0.79 28.9 36.4 3.9
02TEIC01-024 196 139 36.4 63.9 7.5 0.80 26.7 33.5 3.6
02TEIC01-025 161 128 15.4 47.9 3.7 0.77 25.5 33.0 3.6
02TEIC01-026 352 117 13.8 40.2 3.6 0.78 28.6 36.8 4.0
02TEIC01-027 202 139 14.4 47.6 4.4 0.79 31.4 39.5 4.3
02TEIC01-028 204 105 17.3 42.3 5.6 0.74 37.5 50.4 5.4
02TEIC01-029 302 77 16.2 47.3 3.6 0.68 24.0 35.2 3.8
02TEIC01-030 373 121 14.2 40.4 3.0 0.79 23.0 29.2 3.2
02TEIC01-031 191 115 15.5 45.4 3.5 0.76 24.9 32.8 3.5
02TEIC01-032 134 111 19.9 55.6 10.3 0.74 57.4 77.4 8.4
02TEIC01-033 164 116 18.4 48.7 4.5 0.76 27.7 36.6 4.0
02TEIC01-034 338 181 20.7 52.2 5.1 0.85 28.5 33.6 3.6
02TEIC01-035 144 103 22.8 52.2 4.0 0.73 21.2 29.0 3.1
02TEIC01-036 155 104 14.0 41.4 4.5 0.73 35.1 47.9 5.2
02TEIC01-037 314 129 81.4 124.2 12.2 0.80 20.3 25.5 2.8
02TEIC01-038 226 170 21.6 43.3 4.1 0.83 23.6 28.3 3.1
02TEIC01-039 444 171 16.9 50.6 4.8 0.84 30.4 36.0 3.9
02TEIC01-041 324 107 16.4 49.2 6.8 0.76 44.9 59.1 6.4
02TEIC01-042 175 114 20.3 49.2 4.4 0.76 25.2 33.3 3.6
02TEIC01-043 176 132 155.5 106.4 21.9 0.79 22.3 28.2 3.0
02TEIC01-044 177 96 16.5 38.5 3.3 0.72 23.3 32.3 3.5
02TEIC01-045 231 119 162.4 134.1 19.4 0.78 18.4 23.6 2.6
02TEIC01-046 267 99 45.5 74.9 6.9 0.74 20.1 27.1 2.9
02TEIC01-047 288 161 34.1 68.4 5.6 0.83 20.5 24.7 2.7
02TEIC01-048 187 141 11.4 34.6 3.4 0.79 32.0 40.4 4.4
02TEIC01-049 240 144 16.7 40.9 5.1 0.81 35.7 44.2 4.8
02TEIC01-050 272 125 12.3 32.6 3.1 0.79 28.3 36.0 3.9
02TEIC01-051 224 163 13.9 37.3 3.6 0.82 29.4 35.7 3.9
02TEIC01-052 174 138 14.2 38.2 3.2 0.79 25.7 32.6 3.5
02TEIC01-053 281 107 16.2 43.2 3.7 0.76 25.6 33.8 3.7
02TEIC01-054 355 160 13.0 35.8 3.8 0.83 32.9 40.0 4.3
02TEIC01-055 291 164 14.7 43.3 7.1 0.83 52.6 63.4 6.8
02TEIC01-056 268 157 19.1 50.0 5.9 0.82 34.9 42.5 4.6
02TEIC01-057 254 166 13.9 45.8 4.8 0.83 36.0 43.5 4.7
02TEIC01-058 367 118 15.8 38.2 4.0 0.78 29.6 37.9 4.1
02TEIC01-059 152 107 9.5 29.7 3.0 0.76 33.9 44.7 4.8
