ID length diameter U Th He Ft raw_age age age_u
02TELP05-001 206 99 16.9 45.6 4.9 0.73 32.5 44.3 4.8
02TELP05-002 210 147 14.2 41.2 3.8 0.80 29.0 36.0 3.9
02TELP05-003 288 141 27.3 41.1 5.8 0.81 28.6 35.4 3.8
02TELP05-004 331 135 13.9 43.3 5.0 0.80 38.2 47.6 5.1
02TELP05-005 284 112 14.1 40.3 4.4 0.76 34.5 45.1 4.9
02TELP05-006 180 100 18.0 47.9 3.9 0.73 24.3 33.3 3.6
02TELP05-007 182 141 16.9 39.0 4.6 0.80 32.6 41.0 4.4
02TELP05-008 282 114 16.6 57.3 5.3 0.77 32.6 42.6 4.6
02TELP05-009 249 135 16.5 53.7 7.1 0.80 44.6 56.0 6.0
02TELP05-010 177 107 13.8 47.7 5.4 0.74 39.6 53.3 5.8
02TELP05-011 122 115 12.2 37.8 3.5 0.74 30.9 41.6 4.5
02TELP05-012 150 128 16.2 38.6 5.6 0.77 40.7 52.7 5.7
02TELP05-013 210 104 76.2 85.7 15.5 0.75 29.5 39.4 4.3
02TELP05-014 245 88 22.9 48.1 4.7 0.71 25.2 35.5 3.8
02TELP05-015 224 109 14.7 47.4 5.8 0.75 40.8 54.1 5.8
02TELP05-016 345 126 16.1 53.4 5.0 0.79 32.0 40.4 4.4
02TELP05-017 196 88 14.3 48.5 4.6 0.70 32.8 46.8 5.1
02TELP05-018 280 129 13.9 43.1 5.2 0.79 39.4 49.8 5.4
02TELP05-019 320 93 20.5 50.6 3.7 0.73 20.9 28.6 3.1
02TELP05-020 203 100 23.1 60.4 7.1 0.70 34.7 49.3 5.3
02TELP05-021 185 93 14.5 50.2 4.6 0.71 32.1 44.9 4.8
02TELP05-022 113 101 18.7 59.1 5.9 0.71 33.0 46.3 5.0
02TELP05-023 230 124 19.5 54.4 11.4 0.78 64.6 82.8 8.9
02TELP05-024 339 82 14.0 41.8 4.7 0.70 36.0 51.5 5.6
02TELP05-025 287 138 15.7 41.2 1.8 0.80 13.0 16.2 1.7
02TELP05-026 365 130 22.0 62.1 6.7 0.80 33.5 41.9 4.5
02TELP05-028 301 123 15.2 47.7 4.7 0.78 32.4 41.2 4.5
02TELP05-029 238 104 16.3 50.9 9.9 0.75 64.2 85.8 9.3
02TELP05-030 290 124 13.5 41.3 4.3 0.78 33.7 42.9 4.6
02TELP05-031 291 103 23.0 62.8 4.9 0.75 23.7 31.6 3.4
02TELP05-032 287 90 16.1 41.9 2.8 0.72 19.5 27.1 2.9
02TELP05-033 174 77 13.9 43.0 3.7 0.67 28.0 42.0 4.5
02TELP05-034 296 94 17.3 51.3 5.2 0.73 32.7 44.7 4.8
02TELP05-035 339 109 18.0 57.0 7.3 0.76 42.6 55.8 6.0
02TELP05-036 283 126 18.1 54.6 6.9 0.79 40.8 51.8 5.6
02TELP05-037 167 116 15.7 53.3 4.3 0.76 28.0 37.0 4.0
02TELP05-038 138 108 21.7 47.3 5.9 0.73 33.2 45.2 4.9
02TELP05-039 212 103 17.1 48.7 4.1 0.74 26.5 35.7 3.9
02TELP05-040 150 95 14.7 48.3 4.1 0.71 28.7 40.4 4.4
02TELP05-041 155 101 18.9 58.7 1.1 0.72 6.0 8.3 0.9
02TELP05-042 160 103 15.1 53.3 5.4 0.73 35.6 48.7 5.3
02TELP05-043 223 127 14.4 40.9 7.9 0.78 59.9 76.5 8.3
02TELP05-044 183 82 19.1 54.4 5.7 0.68 32.6 47.6 5.1
02TELP05-045 180 95 22.5 45.5 4.9 0.72 27.3 37.8 4.1
02TELP05-046 230 115 15.4 52.2 4.6 0.76 30.5 39.9 4.3
02TELP05-047 290 109 14.5 45.2 4.2 0.76 30.9 40.6 4.4
02TELP05-048 258 76 24.1 57.8 5.4 0.68 26.5 39.1 4.2
02TELP05-049 167 94 18.5 51.7 10.4 0.71 62.0 86.8 9.4
02TELP05-050 305 84 18.4 56.3 5.1 0.70 29.7 42.2 4.6
02TELP05-051 419 144 15.7 47.4 4.1 0.82 28.1 34.4 3.7
02TELP05-052 258 110 14.0 46.2 4.2 0.76 30.6 40.3 4.4
02TELP05-053 158 107 14.2 50.0 5.6 0.74 39.4 53.4 5.8
02TELP05-054 310 107 16.3 49.0 4.0 0.76 26.6 35.0 3.8
02TELP05-055 183 89 18.2 45.9 3.8 0.71 24.2 34.3 3.7 
